event_type,total_score,epsilon,average_loss,mean_td_error,timestamp,average_score_per_episode,average_steps_per_episode,win_count,best_score,average_time
event_type,total_score,epsilon,average_loss,mean_td_error,timestamp,average_score_per_episode,average_steps_per_episode,win_count,best_score,average_time
LoggingSummary,53.0,0.98010015,0.99179,-0.20050234,2024-11-16T18:16:06.354107096+01:00,0.265,3.945,111,1.0,0.004636952
LoggingSummary,54.0,0.9601004,1.043864,-0.1705262,2024-11-16T18:16:07.232400735+01:00,0.27,4.115,114,1.0,0.0043891123
LoggingSummary,62.0,0.9401006,1.0447855,-0.18785025,2024-11-16T18:16:08.054620271+01:00,0.31,4.19,120,1.0,0.004108786
LoggingSummary,48.0,0.92010075,1.0378536,-0.16863163,2024-11-16T18:16:08.870434207+01:00,0.24,4.12,110,1.0,0.004076974
LoggingSummary,23.0,0.900101,1.0398524,-0.16297622,2024-11-16T18:16:09.679636042+01:00,0.115,4.09,98,1.0,0.004043765
LoggingSummary,61.0,0.8801012,1.0533028,-0.14231406,2024-11-16T18:16:10.526146980+01:00,0.305,4.25,116,1.0,0.004230516
LoggingSummary,58.0,0.8601014,1.0352476,-0.13784769,2024-11-16T18:16:11.404335118+01:00,0.29,4.155,118,1.0,0.0043885754
LoggingSummary,72.0,0.8401016,1.0384694,-0.18512739,2024-11-16T18:16:12.271233756+01:00,0.36,4.18,121,1.0,0.0043321564
LoggingSummary,53.0,0.8201018,1.0503064,-0.21043159,2024-11-16T18:16:13.160773017+01:00,0.265,4.18,111,1.0,0.0044447873
LoggingSummary,55.0,0.800102,1.0375823,-0.19262306,2024-11-16T18:16:14.023197412+01:00,0.275,4.165,116,1.0,0.0043096994
LoggingSummary,49.0,0.7801022,1.0386553,-0.2204673,2024-11-16T18:16:14.930669712+01:00,0.245,4.18,110,1.0,0.00453511
LoggingSummary,47.0,0.7601024,1.0482059,-0.20427334,2024-11-16T18:16:15.830926411+01:00,0.235,4.26,105,1.0,0.0044990946
LoggingSummary,67.0,0.74010265,1.0528556,-0.2353099,2024-11-16T18:16:16.802058818+01:00,0.335,4.25,122,1.0,0.004853016
LoggingSummary,59.0,0.7201028,1.048564,-0.22931029,2024-11-16T18:16:17.695319717+01:00,0.295,4.18,115,1.0,0.0044636694
LoggingSummary,60.0,0.700103,1.0274276,-0.21190587,2024-11-16T18:16:18.586030515+01:00,0.3,4.19,115,1.0,0.0044514863
LoggingSummary,47.0,0.6801032,1.0246047,-0.2291401,2024-11-16T18:16:19.511392917+01:00,0.235,4.145,112,1.0,0.004624407
LoggingSummary,42.0,0.6601034,1.04486,-0.23977387,2024-11-16T18:16:20.511903122+01:00,0.21,4.175,106,1.0,0.0049997824
LoggingSummary,54.0,0.6401036,1.0477262,-0.26368913,2024-11-16T18:16:21.577854144+01:00,0.27,4.235,110,1.0,0.0053269817
LoggingSummary,62.0,0.62010384,1.0311614,-0.26407337,2024-11-16T18:16:22.520773568+01:00,0.31,4.185,119,1.0,0.0047118682
LoggingSummary,56.0,0.60010403,1.0091335,-0.26553997,2024-11-16T18:16:23.467199092+01:00,0.28,4.135,114,1.0,0.0047296924
LoggingSummary,77.0,0.5801042,1.0409095,-0.2683576,2024-11-16T18:16:24.480253517+01:00,0.385,4.22,126,1.0,0.005062666
LoggingSummary,74.0,0.56010437,1.0526391,-0.29428273,2024-11-16T18:16:25.564791945+01:00,0.37,4.225,122,1.0,0.005419934
LoggingSummary,61.0,0.54010457,1.0117078,-0.29222396,2024-11-16T18:16:26.633635472+01:00,0.305,4.185,120,1.0,0.0053412877
LoggingSummary,58.0,0.5201048,1.058174,-0.31499356,2024-11-16T18:16:27.651033098+01:00,0.29,4.22,115,1.0,0.0050844103
LoggingSummary,34.0,0.500105,1.0013416,-0.27474877,2024-11-16T18:16:28.631489822+01:00,0.17,4.11,103,1.0,0.0048999246
LoggingSummary,54.0,0.48010516,1.0343837,-0.2933679,2024-11-16T18:16:29.637066150+01:00,0.27,4.095,114,1.0,0.0050252955
LoggingSummary,61.0,0.4601054,1.0602694,-0.3234006,2024-11-16T18:16:30.698694179+01:00,0.305,4.24,117,1.0,0.005305184
LoggingSummary,69.0,0.44010562,1.0590189,-0.30666554,2024-11-16T18:16:31.821045710+01:00,0.345,4.255,121,1.0,0.0056087673
LoggingSummary,51.0,0.4201058,1.0660709,-0.31742433,2024-11-16T18:16:32.883503240+01:00,0.255,4.23,110,1.0,0.005309598
LoggingSummary,58.0,0.40010598,1.0225083,-0.32192498,2024-11-16T18:16:33.928026869+01:00,0.29,4.12,117,1.0,0.005219835
LoggingSummary,40.0,0.3801062,1.0529687,-0.34957993,2024-11-16T18:16:35.000913399+01:00,0.2,4.23,105,1.0,0.0053617572
LoggingSummary,67.0,0.36010638,1.0368637,-0.33868092,2024-11-16T18:16:36.207253832+01:00,0.335,4.215,121,1.0,0.006028567
LoggingSummary,54.0,0.34010658,1.0574127,-0.35401958,2024-11-16T18:16:37.312023464+01:00,0.27,4.21,113,1.0,0.0055209463
LoggingSummary,56.0,0.3201068,1.0433437,-0.36071888,2024-11-16T18:16:38.426318999+01:00,0.28,4.185,111,1.0,0.00556889
LoggingSummary,40.0,0.30010703,1.048225,-0.35076106,2024-11-16T18:16:39.579315235+01:00,0.2,4.235,105,1.0,0.0057617216
LoggingSummary,58.0,0.2801072,1.0555869,-0.36191222,2024-11-16T18:16:40.820022374+01:00,0.29,4.175,116,1.0,0.006200349
LoggingSummary,52.0,0.2601074,1.0514408,-0.3837042,2024-11-16T18:16:42.035961412+01:00,0.26,4.26,111,1.0,0.0060765054
LoggingSummary,82.0,0.24010763,1.0575353,-0.38824055,2024-11-16T18:16:43.227650449+01:00,0.41,4.265,131,1.0,0.005955177
LoggingSummary,60.0,0.22010778,1.0278926,-0.3919306,2024-11-16T18:16:44.400608186+01:00,0.3,4.125,117,1.0,0.005861834
LoggingSummary,61.0,0.200108,1.0605837,-0.40409687,2024-11-16T18:16:45.600845520+01:00,0.305,4.225,112,1.0,0.0059981965
LoggingSummary,71.0,0.18010822,1.0622475,-0.40036866,2024-11-16T18:16:46.940298155+01:00,0.355,4.27,118,1.0,0.006692739
LoggingSummary,76.0,0.16010839,1.0669574,-0.41502568,2024-11-16T18:16:48.145409386+01:00,0.38,4.27,124,1.0,0.0060223453
LoggingSummary,54.0,0.1401086,1.0324955,-0.38895807,2024-11-16T18:16:49.346332317+01:00,0.27,4.135,111,1.0,0.0060001677
LoggingSummary,74.0,0.12010882,1.0285938,-0.39596,2024-11-16T18:16:50.528076248+01:00,0.37,4.16,123,1.0,0.0059041684
LoggingSummary,78.0,0.10010898,1.0406367,-0.42819527,2024-11-16T18:16:51.828258281+01:00,0.39,4.23,125,1.0,0.006496178
LoggingSummary,66.0,0.0801092,1.0377693,-0.42502263,2024-11-16T18:16:53.075956610+01:00,0.33,4.155,120,1.0,0.006233753
LoggingSummary,57.0,0.060109418,1.0070753,-0.4161145,2024-11-16T18:16:54.289931118+01:00,0.285,4.07,118,1.0,0.0060652727
LoggingSummary,77.0,0.04010958,1.0397639,-0.44640392,2024-11-16T18:16:55.566418126+01:00,0.385,4.205,127,1.0,0.00637755
LoggingSummary,65.0,0.020109797,1.0098723,-0.45140162,2024-11-16T18:16:56.950945335+01:00,0.325,4.075,116,1.0,0.0069171526
LoggingSummary,68.0,0.00011001559,1.0135493,-0.43950862,2024-11-16T18:16:58.242681344+01:00,0.34,4.095,125,1.0,0.006453889
